,P1,P2,variable
0,0.3722892177975815,0.317484581224569,population
1,0.14786274818642742,-0.676661110074318,educationExpenditures
2,-0.46804298808917394,-0.30461377325705863,birthPer1000
3,-0.19064271699365468,-0.6184928214655592,deathPer1000
4,-0.5882230411943515,-0.17340442962152072,GDPPerCapita
5,-0.6298115248142349,0.3311589824065697,inflationRate
6,0.5282104008795299,-0.4022290144208243,militaryExpenditures
7,0.33253654432646174,0.16866831035129592,GDPPurchasePower
8,-0.3731359684727875,0.6214927717262533,GDPGrowthRate
9,0.20031015435412575,0.2478314176103732,reservesOfForeignCurrency
10,0.3171636605651088,0.1840653621963152,electricityConsumption
11,0.3514835134549674,0.30469972332390466,laborForce
